,word,variant,count,cat,affix_type
170,minuteman,minuteman,2, man,suffix
171,cornishman,cornishman,2, man,suffix
172,deskman,deskman,2, man,suffix
173,cornerman,cornerman,2, man,suffix
174,sportsmen,sportsmen,2, man,suffix
175,ultraman,ultraman,2, man,suffix
176,gershman,gershman,2, man,suffix
177,pressman,pressman,2, man,suffix
178,seeman,seeman,2, man,suffix
179,handicraftsman,handicraftsman,1, man,suffix
180,liftman,liftman,1, man,suffix
181,he-man,he-man,1, man,suffix
182,cyberman,cyberman,1, man,suffix
183,macro-man,macro-man,1, man,suffix
184,rubberman,rubberman,1, man,suffix
185,she-man,she-man,1, man,suffix
186,washerman,washerman,1, man,suffix
187,cameramen,cameramen,1, man,suffix
188,starman,starman,1, man,suffix
189,gateman,gateman,1, man,suffix
190,artilleryman,artilleryman,1, man,suffix
191,cutman,cutman,1, man,suffix
192,nightwatchman,nightwatchman,1, man,suffix
193,spokesmen,spokesmen,1, man,suffix
194,townsman,townsman,1, man,suffix
195,pointsman,pointsman,1, man,suffix
196,spearman,spearman,1, man,suffix
197,expressman,expressman,1, man,suffix
198,gleeman,gleeman,1, man,suffix
199,tribesmen,tribesmen,1, man,suffix
200,pig-man,pig man,1, man,suffix
201,spoonman,spoonman,1, man,suffix
202,prman,prman,1, man,suffix
203,chessmen,chessmen,1, man,suffix
204,dutchman,dutchman,1, man,suffix
205,rainman,rainman,1, man,suffix
206,crossbowman,crossbowman,1, man,suffix
207,ambulanceman,ambulanceman,1, man,suffix
208,overman,overman,1, man,suffix
209,pcman,pcman,1, man,suffix
210,bargeman,bargeman,1, man,suffix
211,almsman,almsman,1, man,suffix
212,cabman,cabman,1, man,suffix
213,boardman,boardman,1, man,suffix
214,centreman,centreman,1, man,suffix
215,sub-man,sub-man,1, man,suffix
216,gearman,gearman,1, man,suffix
217,discman,discman,1, man,suffix
218,seamen,seamen,1, man,suffix
219,longshoremen,longshoremen,1, man,suffix
220,rockman,rockman,1, man,suffix
221,portman,portman,1, man,suffix
