word,variant,frequency,category,affix_type,replacement
doughboy,doughboy,6,boy,suffix,foot soldier
man-marking,man marking,6,man,prefix,marking
girllove,girllove,6,girl,prefix,love
swagman,swagman,5,man,suffix,transient labourer
groomsman,groomsman,5,man,suffix,groomsperson
merchantman,merchantman,5,man,suffix,merchant
landsman,landsman,5,man,suffix,landlubber
groundsman,groundsman,5,man,suffix,groundskeeper
placeman,placeman,5,man,suffix,appointee
bellman,bellman,5,man,suffix,bellhop
adman,adman,5,man,suffix,advertiser
fisherwoman,fisherwoman,5,woman,suffix,fisher
ballboy,ballboy,5,boy,suffix,ball person
batboy,batboy,5,boy,suffix,bat person
houseboy,houseboy,5,boy,suffix,domestic worker
man-whore,man-whore,5,man,prefix,sex worker
man-hunt,man hunt,5,man,prefix,organized search
girlfight,girlfight,5,girl,prefix,fight
wheelman,wheelman,4,man,suffix,driver
draughtsman,draughtsman,4,man,suffix,draughtsperson
lifeboatman,lifeboatman,4,man,suffix,lifeboat sailor
wildman,wildman,4,man,suffix,wild person
clansman,clansman,4,man,suffix,clan member
lobsterman,lobsterman,4,man,suffix,lobster catcher
headsman,headsman,4,man,suffix,executioner
whiteman,whiteman,4,man,suffix,white person
newswoman,newswoman,4,woman,suffix,reporter
ladyboy,ladyboy,4,boy,suffix,genderqueer person
farmboy,farmboy,4,boy,suffix,farm worker
man-machine,man-machine,4,man,prefix,human-computer
boyism,boyism,4,boy,prefix,childism
targetman,targetman,3,man,suffix,forward
cavalryman,cavalryman,3,man,suffix,trooper
oarsman,oarsman,3,man,suffix,rower
oysterman,oysterman,3,man,suffix,oysterperson
glovesman,glovesman,3,man,suffix,boxer
swordman,swordman,3,man,suffix,fencer
storeman,storeman,3,man,suffix,warehouser
sideman,sideman,3,man,suffix,side artist
centerman,centerman,3,man,suffix,center
busman,busman,3,man,suffix,bus driver
huntsman,huntsman,3,man,suffix,hunter
lensman,lensman,3,man,suffix,photographer
plowman,plowman,3,man,suffix,plower
frontwoman,frontwoman,3,woman,suffix,frontperson
cavewoman,cavewoman,3,woman,suffix,caveperson
servicewoman,servicewoman,3,woman,suffix,service member
bogeywoman,bogeywoman,3,woman,suffix,monster
newsboy,newsboy,3,boy,suffix,newspaper delivery person
bellboy,bellboy,3,boy,suffix,bellhop
man-hour,man-hour,3,man,prefix,work-hour
man-hug,man hug,3,man,prefix,pound hug
woodman,woodman,2,man,suffix,woodworker
underclassman,underclassman,2,man,suffix,undergraduate
slaughterman,slaughterman,2,man,suffix,butcher
packman,packman,2,man,suffix,seller
packetman,packetman,2,man,suffix,packet sailor
binman,binman,2,man,suffix,garbage collector
pieman,pieman,2,man,suffix,pie vendor
switchman,switchman,2,man,suffix,railroad worker
spearfisherman,spearfisherman,2,man,suffix,spearfisher
assman,assman,2,man,suffix,assperson
classman,classman,2,man,suffix,classmate
minuteman,minuteman,2,man,suffix,soldier
cornishman,cornishman,2,man,suffix,Cornish person
deskman,deskman,2,man,suffix,desk sergeant
cornerman,cornerman,2,man,suffix,second
pressman,pressman,2,man,suffix,printer
stateswoman,stateswoman,2,woman,suffix,statesperson
man-woman,manwoman,2,woman,suffix,masculine person
craftswoman,craftswoman,2,woman,suffix,craftsoerson
washerwoman,washerwoman,2,woman,suffix,washer
hitwoman,hitwoman,2,woman,suffix,assassin
fratboy,fratboy,2,boy,suffix,fraternity member
bargirl,bargirl,2,girl,suffix,bartender
man-cession,mancession,2,man,prefix,recession
man-up,man up,2,man,prefix,adult up
man-month,man-month,2,man,prefix,work-month
man-servant,man servant,2,man,prefix,servant
man-magnet,man magnet,2,man,prefix,attractive person
man-cave,man cave,2,man,prefix,sanctuary
man-kind,mankind,2,man,prefix,humankind
man-mark,man-mark,2,man,prefix,mark
womanly,womanly,2,woman,prefix,feminine
girldom,girldom,2,girl,prefix,feminine sphere
girlification,girlification,2,girl,prefix,feminization
handicraftsman,handicraftsman,1,man,suffix,handicraftsperson
liftman,liftman,1,man,suffix,lift operator
rubberman,rubberman,1,man,suffix,latex fetishist
she-man,she-man,1,man,suffix,feminine person
washerman,washerman,1,man,suffix,washer
gateman,gateman,1,man,suffix,gatekeeper
artilleryman,artilleryman,1,man,suffix,cannoneer
cutman,cutman,1,man,suffix,medical attendant
nightwatchman,nightwatchman,1,man,suffix,nightwatchbatter
townsman,townsman,1,man,suffix,townsperson
pointsman,pointsman,1,man,suffix,traffic officer
spearman,spearman,1,man,suffix,lancer
expressman,expressman,1,man,suffix,expressperson
gleeman,gleeman,1,man,suffix,minstrel
prman,prman,1,man,suffix,press agent
chessman,chessman,1,man,suffix,chess figure
dutchman,dutchman,1,man,suffix,netherlander
crossbowman,crossbowman,1,man,suffix,arbalist
ambulanceman,ambulanceman,1,man,suffix,emergency medical technician
overman,overman,1,man,suffix,übermensch
bargeman,bargeman,1,man,suffix,barge operator
almsman,almsman,1,man,suffix,medical social worker
cabman,cabman,1,man,suffix,cabdriver
centreman,centreman,1,man,suffix,centre
sub-man,sub-man,1,man,suffix,inferior human
discman,discman,1,man,suffix,portable CD player
frenchman,frenchman,1,man,suffix,French person
cocksman,cocksman,1,man,suffix,sexually talented person
upperclassman,upperclassman,1,man,suffix,student
winchman,winchman,1,man,suffix,rescue swimmer
merman,merman,1,man,suffix,merperson
backwoodsman,backwoodsman,1,man,suffix,explorer
garageman,garageman,1,man,suffix,mechanic
markswoman,markswoman,1,woman,suffix,sharpshooter
swordswoman,swordswoman,1,woman,suffix,fencer
sportswoman,sportswoman,1,woman,suffix,athlete
ambulancewoman,ambulancewoman,1,woman,suffix,emergency medical technician
anti-woman,antiwoman,1,woman,suffix,misogynist
selectwoman,selectwoman,1,woman,suffix,member of the board
tribeswoman,tribeswoman,1,woman,suffix,tribesperson
horsewoman,horsewoman,1,woman,suffix,equestrian
fisherboy,fisherboy,1,boy,suffix,young fisher
nancyboy,nancyboy,1,boy,suffix,nancy
headboy,headboy,1,boy,suffix,student leader
femboy,femboy,1,boy,suffix,effeminate person
toyboy,toyboy,1,boy,suffix,toy
copyboy,copyboy,1,boy,suffix,junior newspaper worker
callboy,callboy,1,boy,suffix,sex worker
babygirl,babygirl,1,girl,suffix,baby
tomgirl,tomgirl,1,girl,suffix,timid child
callgirl,callgirl,1,girl,suffix,sex worker
playgirl,playgirl,1,girl,suffix,player
snowgirl,snowgirl,1,girl,suffix,snowperson
papergirl,papergirl,1,girl,suffix,newspaper delivery person
cavegirl,cavegirl,1,girl,suffix,caveperson
ballgirl,ballgirl,1,girl,suffix,ball person
farmgirl,farmgirl,1,girl,suffix,farm worker
slavegirl,slavegirl,1,girl,suffix,slave
man-bag,man-bag,1,man,prefix,handbag
man-ass,manass,1,man,prefix,ass
man-stealing,manstealing,1,man,prefix,kidnapping
man-year,man-year,1,man,prefix,work-year
man-rating,man-rating,1,man,prefix,human-rating
man-trap,man-trap,1,man,prefix,attractive person
man-friend,manfriend,1,man,prefix,friend
girlfag,girlfag,1,girl,prefix,woman attracted to gay men 
girlishly,girlishly,1,girl,prefix,childishly
girlpower,girlpower,1,girl,prefix,power
boyishly,boyishly,1,boy,prefix,childishly
boytoy,boytoy,1,boy,prefix,toy
spokeman,spokeman,,man,suffix,spokeperson
gentleman,gentleman,,man,suffix,refined person
everyman,everyman,,man,suffix,ordinary person
nobleman,nobleman,,man,suffix,noble person
bogeyman,bogeyman,,man,suffix,monster
airmanship,airmanship,,manship,suffix,aerial skill
batsmanship,batsmanship,,manship,suffix,batting skill
brinkmanship,brinkmanship,,manship,suffix,extreme strategy
brinksmanship,brinksmanship,,manship,suffix,extreme strategy
chairmanship,chairmanship,,manship,suffix,chairpersonship
churchmanship ,churchmanship ,,manship,suffix,churchpersonship
craftmanship,craftmanship,,manship,suffix,craftpersonship
craftsmanship,craftsmanship,,manship,suffix,craftspersonship
draftsmanship,draftsmanship,,manship,suffix,draftspersonship
draughtsmanship,draughtsmanship,,manship,suffix,draughtspersonship
foremanship,foremanship,,manship,suffix,forepersonship
gamesmanship,gamesmanship,,manship,suffix,unsporting tactic
gentlemanship,gentlemanship,,manship,suffix,refinedness
grantsmanship,grantsmanship,,manship,suffix,grant acquisition expertise
handcraftsmanship,handcraftsmanship,,manship,suffix,handcraftspersonship
horsemanship,horsemanship,,manship,suffix,equestrian skill
journeymanship,journeymanship,,manship,suffix,artisanship
manship,manship,,manship,suffix,courage
marksmanship,marksmanship,,manship,suffix,sharpshooting skill
oarsmanship,oarsmanship,,manship,suffix,rowing skill
penmanship,penmanship,,manship,suffix,calligraphy
salesmanship,salesmanship,,manship,suffix,selling skill
seamanship,seamanship,,manship,suffix,marine skill
showmanship,showmanship,,manship,suffix,performing skill
sportsmanship,sportsmanship,,manship,suffix,athletic skill
statesmanship,statesmanship,,manship,suffix,public management skill
stockmanship,stockmanship,,manship,suffix,livestock raising skill
swordsmanship,swordsmanship,,manship,suffix,fencing skill
upmanship,upmanship,,manship,suffix,competitive behavior
workmanship,workmanship,,manship,suffix,workpersonship
